battery_id,cycle,cell_voltage,pack_voltage,pack_current,cell_temperature,soc,dod,c_rate,soh_pct,rul_cycles
1,1,3.189,350.74,126.0,28.6,69.3,36.6,1.26,99.99,3798
1,2,3.223,354.51,35.64,39.4,69.1,44.6,0.36,99.99,3918
1,3,3.19,350.91,96.2,32.0,67.6,49.2,0.96,99.98,3770
1,4,3.218,353.93,102.18,46.5,75.2,39.2,1.02,99.97,3446
1,5,3.228,355.05,35.7,29.4,70.5,44.6,0.36,99.97,3669
1,6,3.245,356.94,23.85,32.3,72.1,27.6,0.24,99.97,3968
1,7,3.26,358.57,21.41,33.9,76.5,22.2,0.21,99.97,4273
1,8,3.223,354.52,38.6,35.9,69.6,46.1,0.39,99.97,4369
1,9,3.202,352.25,36.24,44.1,63.6,45.8,0.36,99.96,4326
1,10,3.249,357.42,27.83,23.9,74.7,34.9,0.28,99.96,4491
1,11,3.231,355.44,34.52,44.6,70.2,35.8,0.35,99.96,4490
1,12,3.232,355.53,28.61,32.6,69.8,35.8,0.29,99.95,4490
1,13,3.188,350.65,50.49,34.6,62.4,63.8,0.5,99.95,4488
1,14,3.158,347.41,108.6,38.3,61.5,71.2,1.09,99.93,3612
1,15,3.218,353.97,39.15,27.9,68.6,49.2,0.39,99.93,3807
1,16,3.241,356.55,23.81,27.6,71.2,30.2,0.24,99.93,4125
1,17,3.245,356.92,51.41,40.3,76.7,37.0,0.51,99.92,4180
1,18,3.211,353.24,44.15,31.9,68.0,55.7,0.44,99.92,4233
1,19,3.201,352.11,96.74,44.2,70.4,45.2,0.97,99.91,3751
1,20,3.203,352.37,37.56,26.7,64.2,46.8,0.38,99.9,3973
1,21,3.228,355.04,41.21,37.7,70.5,39.5,0.41,99.9,4108
1,22,3.215,353.62,33.11,23.8,66.2,41.6,0.33,99.9,4403
1,23,3.213,353.44,48.37,34.8,67.3,40.1,0.48,99.9,4477
1,24,3.212,353.35,38.79,32.4,66.9,48.5,0.39,99.89,4476
1,25,3.187,350.52,51.14,44.0,61.7,55.8,0.51,99.88,4224
1,26,3.231,355.44,31.4,38.2,70.1,38.0,0.31,99.88,4403
1,27,3.208,352.86,89.03,40.0,70.3,36.9,0.89,99.88,4223
1,28,3.25,357.45,50.89,34.4,78.1,34.0,0.51,99.87,4395
1,29,3.231,355.39,28.4,21.8,69.1,33.9,0.28,99.87,4471
1,30,3.141,345.48,98.02,38.4,54.7,72.0,0.98,99.86,3702
1,31,3.258,358.37,45.86,46.9,80.0,27.0,0.46,99.85,3842
1,32,3.255,358.0,26.61,25.6,76.2,33.4,0.27,99.85,4150
1,33,3.243,356.74,25.77,42.0,72.2,32.3,0.26,99.85,4347
1,34,3.268,359.45,23.79,23.6,80.2,28.5,0.24,99.85,4466
1,35,3.238,356.14,32.79,37.3,72.6,41.2,0.33,99.84,4465
1,36,3.256,358.18,27.96,42.3,77.1,35.3,0.28,99.84,4464
1,37,3.244,356.8,39.58,41.8,73.7,24.6,0.4,99.84,4464
1,38,3.195,351.45,90.19,39.6,67.9,45.9,0.9,99.83,4462
1,39,3.244,356.87,27.77,26.2,73.2,35.1,0.28,99.83,4461
1,40,3.206,352.62,39.33,26.8,65.2,49.7,0.39,99.83,4461
1,41,3.225,354.79,40.71,25.4,69.3,35.5,0.41,99.82,4460
1,42,3.206,352.61,35.78,29.0,64.2,43.7,0.36,99.82,4460
1,43,3.242,356.63,34.94,44.7,73.2,32.5,0.35,99.82,4459
1,44,3.225,354.79,31.18,25.3,68.6,39.3,0.31,99.82,4459
1,45,3.201,352.09,43.29,32.7,64.7,54.2,0.43,99.81,4458
1,46,3.239,356.27,28.68,39.1,71.7,36.1,0.29,99.81,4457
1,47,3.244,356.82,37.84,23.6,74.8,38.8,0.38,99.81,4457
1,48,3.239,356.24,66.92,34.8,76.6,32.2,0.67,99.8,4456
1,49,3.199,351.91,46.4,33.4,65.0,58.3,0.46,99.8,4455
1,50,3.186,350.41,85.66,43.7,65.4,52.9,0.86,99.79,4452
1,51,3.23,355.32,47.22,38.6,72.0,39.1,0.47,99.78,4451
1,52,3.219,354.11,31.18,45.5,67.0,39.6,0.31,99.78,4450
1,53,3.216,353.72,87.64,40.2,72.4,35.9,0.88,99.77,4435
1,54,3.193,351.26,48.62,41.1,63.1,53.2,0.49,99.77,4177
1,55,3.25,357.49,23.44,31.7,73.8,29.7,0.23,99.76,4447
1,56,3.251,357.59,25.86,34.5,74.2,25.3,0.26,99.76,4447
1,57,3.251,357.59,26.53,21.8,74.9,33.3,0.27,99.76,4446
1,58,3.244,356.86,30.18,29.9,72.7,27.4,0.3,99.76,4446
1,59,3.208,352.92,39.55,28.5,66.0,49.9,0.4,99.76,4445
1,60,3.22,354.2,30.25,45.6,66.9,37.8,0.3,99.75,4445
1,61,3.215,353.6,39.4,29.3,67.2,44.3,0.39,99.75,4444
1,62,3.242,356.66,31.52,35.3,73.6,39.6,0.32,99.75,4443
1,63,3.247,357.16,27.7,31.8,73.9,34.6,0.28,99.75,4443
1,64,3.24,356.44,31.62,33.2,72.2,32.3,0.32,99.75,4443
1,65,3.209,353.03,35.9,23.5,65.4,45.3,0.36,99.74,4442
1,66,3.256,358.21,27.39,22.1,77.0,34.3,0.27,99.74,4442
1,67,3.231,355.43,40.23,44.3,71.4,39.7,0.4,99.74,4441
1,68,3.203,352.38,35.81,23.9,63.8,45.1,0.36,99.74,4441
1,69,3.238,356.23,49.57,29.7,73.8,30.2,0.5,99.73,4440
1,70,3.146,346.01,95.82,39.4,55.8,66.8,0.96,99.72,4437
1,71,3.224,354.65,58.97,37.4,71.8,41.2,0.59,99.71,4436
1,72,3.206,352.61,53.02,37.1,66.6,47.1,0.53,99.71,4434
1,73,3.219,354.08,36.01,41.8,68.1,45.6,0.36,99.7,4433
1,74,3.196,351.58,82.69,42.7,66.6,38.6,0.83,99.7,4399
1,75,3.227,354.94,37.67,33.0,69.0,33.1,0.38,99.7,4431
1,76,3.251,357.57,41.51,31.7,76.4,23.9,0.42,99.69,4431
1,77,3.194,351.29,123.84,30.4,71.4,43.8,1.24,99.69,4429
1,78,3.232,355.56,45.6,45.0,71.3,29.8,0.46,99.68,4429
1,79,3.242,356.65,31.02,33.1,73.2,37.1,0.31,99.68,4428
1,80,3.144,345.88,97.74,45.3,55.8,76.8,0.98,99.66,3512
1,81,3.236,355.97,29.65,34.6,70.7,32.5,0.3,99.66,3765
1,82,3.2,352.03,40.83,38.4,63.7,46.6,0.41,99.65,3818
1,83,3.215,353.65,53.46,45.2,68.8,43.1,0.53,99.65,3727
1,84,3.237,356.12,25.61,24.7,70.5,32.1,0.26,99.65,4042
1,85,3.259,358.47,25.56,34.0,77.4,32.1,0.26,99.65,4316
1,86,3.209,352.99,120.39,40.2,73.6,23.7,1.2,99.64,4220
1,87,3.146,346.01,96.56,31.9,55.9,67.9,0.97,99.63,3711
1,88,3.268,359.46,21.91,23.0,79.9,27.7,0.22,99.63,4038
1,89,3.22,354.19,46.78,26.7,68.4,34.8,0.47,99.63,4302
1,90,3.248,357.27,37.42,25.7,75.5,33.6,0.37,99.62,4415
1,91,3.236,355.97,26.96,25.8,70.5,33.9,0.27,99.62,4415
1,92,3.24,356.35,26.24,33.9,71.3,33.1,0.26,99.62,4415
1,93,3.198,351.73,59.69,43.0,65.6,52.1,0.6,99.61,4413
1,94,3.232,355.51,56.04,45.2,73.8,40.7,0.56,99.61,4402
1,95,3.215,353.66,47.71,35.4,67.9,41.3,0.48,99.6,4411
1,96,3.244,356.89,42.09,43.8,75.5,37.8,0.42,99.6,4410
1,97,3.218,354.02,35.05,34.9,67.6,43.6,0.35,99.6,4409
1,98,3.232,355.47,45.87,40.2,71.4,33.0,0.46,99.59,4408
1,99,3.265,359.13,23.32,34.7,79.0,29.4,0.23,99.59,4408
1,100,3.25,357.5,42.81,29.6,76.7,29.3,0.43,99.59,4407
1,101,3.223,354.5,45.45,42.6,69.2,36.0,0.45,99.58,4407
1,102,3.235,355.84,33.36,27.6,71.6,39.6,0.33,99.58,4406
1,103,3.242,356.63,32.88,34.9,73.9,41.3,0.33,99.58,4406
1,104,3.207,352.74,43.52,23.1,65.7,46.9,0.44,99.58,4405
1,105,3.181,349.88,44.83,30.0,59.4,56.4,0.45,99.57,4404
1,106,3.217,353.92,58.11,30.8,70.5,46.4,0.58,99.57,4403
1,107,3.206,352.62,52.23,23.3,66.5,46.8,0.52,99.57,4403
1,108,3.226,354.87,42.03,42.8,70.0,38.3,0.42,99.56,4402
1,109,3.248,357.28,32.74,37.2,74.4,27.3,0.33,99.56,4401
1,110,3.172,348.96,91.58,31.6,63.1,61.3,0.92,99.55,4399
1,111,3.242,356.63,31.95,38.1,73.7,40.2,0.32,99.55,4398
1,112,3.254,357.94,32.47,41.9,76.5,29.2,0.32,99.55,4398
1,113,3.203,352.3,97.33,32.3,71.0,46.0,0.97,99.54,4396
1,114,3.22,354.18,31.62,37.9,67.2,39.9,0.32,99.54,4396
1,115,3.205,352.51,43.15,45.3,65.8,53.8,0.43,99.53,4394
1,116,3.234,355.78,27.22,36.8,70.1,34.3,0.27,99.53,4394
1,117,3.208,352.84,49.32,35.9,67.0,50.0,0.49,99.52,4392
1,118,3.231,355.45,35.35,37.9,71.4,44.0,0.35,99.52,4392
1,119,3.26,358.57,23.81,38.2,77.4,30.2,0.24,99.52,4391
1,120,3.23,355.25,26.7,26.2,68.5,33.4,0.27,99.51,4391
1,121,3.147,346.19,92.12,28.4,55.9,67.4,0.92,99.51,4389
1,122,3.246,357.03,41.85,39.3,75.0,28.3,0.42,99.5,4388
1,123,3.249,357.41,50.55,46.2,77.7,30.9,0.51,99.5,4387
1,124,3.235,355.83,39.83,33.0,72.8,42.6,0.4,99.5,4387
1,125,3.239,356.29,62.09,40.7,76.2,34.4,0.62,99.49,4386
1,126,3.226,354.9,38.81,25.3,69.8,38.8,0.39,99.49,4385
1,127,3.206,352.69,40.96,43.6,65.8,51.1,0.41,99.48,4384
1,128,3.218,353.97,33.04,37.2,67.1,41.5,0.33,99.48,4383
1,129,3.196,351.57,40.93,44.6,63.0,51.2,0.41,99.48,4382
1,130,3.199,351.85,101.67,47.6,69.4,37.3,1.02,99.46,4047
1,131,3.255,358.1,43.95,41.1,79.0,31.2,0.44,99.46,4177
1,132,3.23,355.35,34.33,42.2,71.0,43.5,0.34,99.46,4224
1,133,3.172,348.92,48.23,43.4,57.5,61.0,0.48,99.45,3834
1,134,3.221,354.26,31.51,34.4,67.4,39.7,0.32,99.44,4032
1,135,3.196,351.58,56.17,33.8,64.3,46.1,0.56,99.44,4061
1,136,3.205,352.6,41.46,27.6,65.7,51.9,0.41,99.44,4197
1,137,3.26,358.59,35.2,32.6,78.9,22.9,0.35,99.44,4373
1,138,3.252,357.67,54.66,42.0,79.0,24.0,0.55,99.43,4372
1,139,3.237,356.06,30.7,32.5,71.8,38.8,0.31,99.43,4372
1,140,3.204,352.45,38.36,25.8,64.5,48.1,0.38,99.43,4371
1,141,3.177,349.47,85.56,45.7,62.9,50.5,0.86,99.41,4075
1,142,3.208,352.88,55.16,40.0,67.4,45.4,0.55,99.41,3969
1,143,3.241,356.47,41.1,28.7,73.7,33.2,0.41,99.41,4240
1,144,3.168,348.52,52.81,28.1,57.2,65.8,0.53,99.4,4149
1,145,3.265,359.17,29.39,42.8,80.1,25.6,0.29,99.4,4365
1,146,3.246,357.03,38.52,29.3,74.5,28.5,0.39,99.4,4364
1,147,3.217,353.83,92.68,48.4,72.5,27.1,0.93,99.39,4363
1,148,3.253,357.78,39.79,22.5,77.1,27.1,0.4,99.39,4363
1,149,3.248,357.23,31.12,38.9,75.2,39.4,0.31,99.39,4362
1,150,3.207,352.76,96.37,34.7,71.6,41.3,0.96,99.38,4361
1,151,3.228,355.11,35.18,29.7,69.9,39.1,0.35,99.38,4360
1,152,3.187,350.6,50.74,25.4,62.4,63.7,0.51,99.37,4359
1,153,3.234,355.7,54.89,27.9,74.3,41.6,0.55,99.37,4358
1,154,3.208,352.92,34.73,22.9,64.9,43.4,0.35,99.37,4358
1,155,3.201,352.08,122.55,48.8,72.1,33.0,1.23,99.36,4340
1,156,3.205,352.58,63.17,40.3,66.8,38.4,0.63,99.35,4290
1,157,3.175,349.3,64.17,44.0,61.0,74.9,0.64,99.34,3444
1,158,3.165,348.11,57.82,24.8,56.7,64.6,0.58,99.33,3482
1,159,3.243,356.69,38.26,28.7,74.2,36.0,0.38,99.33,3727
1,160,3.203,352.38,51.66,38.2,65.9,47.1,0.52,99.32,3709
1,161,3.225,354.8,41.14,40.8,69.6,36.9,0.41,99.32,3826
1,162,3.197,351.72,118.78,35.0,72.1,44.4,1.19,99.31,3556
1,163,3.239,356.33,29.3,27.0,72.1,36.9,0.29,99.31,3822
1,164,3.259,358.52,44.08,39.7,80.3,27.2,0.44,99.31,4039
1,165,3.233,355.61,31.75,43.4,70.7,37.9,0.32,99.3,4151
1,166,3.223,354.58,33.49,42.5,68.8,42.1,0.33,99.3,4241
1,167,3.227,354.93,91.02,48.0,76.0,31.4,0.91,99.29,3952
1,168,3.251,357.59,29.08,30.6,75.6,36.7,0.29,99.29,4213
1,169,3.239,356.29,57.63,44.1,75.9,37.7,0.58,99.29,4108
1,170,3.251,357.59,53.76,25.3,78.8,30.4,0.54,99.28,4339
1,171,3.248,357.31,40.08,26.3,75.7,28.9,0.4,99.28,4339
1,172,3.249,357.36,35.71,25.9,75.4,31.7,0.36,99.28,4338
1,173,3.228,355.1,35.21,24.1,70.5,44.3,0.35,99.28,4338
1,174,3.231,355.46,29.3,21.1,69.8,37.0,0.29,99.28,4338
1,175,3.253,357.84,28.28,40.2,76.1,35.6,0.28,99.28,4337
1,176,3.254,357.91,30.09,38.1,76.3,32.1,0.3,99.27,4337
1,177,3.238,356.19,25.75,29.2,70.8,32.5,0.26,99.27,4336
1,178,3.228,355.07,31.24,21.8,69.3,39.5,0.31,99.27,4336
1,179,3.248,357.32,34.75,21.0,74.8,27.4,0.35,99.27,4336
1,180,3.252,357.73,34.17,29.6,75.9,24.9,0.34,99.27,4335
1,181,3.226,354.82,35.18,37.0,69.8,44.6,0.35,99.26,4335
1,182,3.223,354.52,32.74,36.7,68.4,41.4,0.33,99.26,4334
1,183,3.21,353.1,37.33,46.0,65.5,41.8,0.37,99.26,4333
1,184,3.238,356.22,28.48,41.5,71.6,35.8,0.28,99.25,4332
1,185,3.231,355.36,45.52,45.4,71.3,34.9,0.46,99.25,4331
1,186,3.224,354.67,47.39,30.7,70.8,43.2,0.47,99.25,4330
1,187,3.241,356.5,27.14,27.7,71.5,29.3,0.27,99.24,4330
1,188,3.209,352.99,43.36,34.4,67.1,55.0,0.43,99.24,4329
1,189,3.143,345.69,122.97,49.6,58.5,66.4,1.23,99.22,4016
1,190,3.19,350.89,41.85,36.8,61.4,52.8,0.42,99.22,3996
1,191,3.25,357.45,48.02,25.6,77.2,26.6,0.48,99.21,4303
1,192,3.215,353.61,36.94,43.9,67.1,46.6,0.37,99.21,4205
1,193,3.241,356.55,30.42,22.9,72.6,34.5,0.3,99.21,4322
1,194,3.203,352.3,50.21,39.4,65.7,48.9,0.5,99.2,4320
1,195,3.236,355.94,33.42,29.0,71.1,32.8,0.33,99.2,4320
1,196,3.248,357.26,41.59,28.9,75.9,31.3,0.42,99.2,4320
1,197,3.235,355.9,46.52,32.4,72.4,29.2,0.47,99.2,4319
1,198,3.22,354.24,92.06,49.2,73.9,29.7,0.92,99.19,4317
1,199,3.239,356.32,25.8,34.0,71.1,32.3,0.26,99.19,4317
1,200,3.235,355.89,42.04,33.5,71.6,27.8,0.42,99.18,4316
1,201,3.234,355.73,30.5,37.3,70.9,38.5,0.3,99.18,4316
1,202,3.216,353.77,86.5,25.9,71.9,31.1,0.86,99.18,4315
1,203,3.216,353.77,61.94,45.6,68.9,32.5,0.62,99.17,4314
1,204,3.197,351.67,38.88,33.5,62.8,49.1,0.39,99.17,4313
1,205,3.256,358.21,24.85,25.6,76.4,31.3,0.25,99.17,4313
1,206,3.181,349.96,126.37,44.9,67.7,37.6,1.26,99.16,4310
1,207,3.183,350.17,93.23,34.7,65.8,52.6,0.93,99.15,4009
1,208,3.226,354.91,38.88,30.4,71.1,49.1,0.39,99.14,4149
1,209,3.229,355.21,65.04,35.1,73.7,37.2,0.65,99.14,4182
1,210,3.218,353.94,34.36,29.6,67.3,42.9,0.34,99.14,4306
1,211,3.22,354.22,82.43,37.1,72.6,31.4,0.82,99.13,4305
1,212,3.216,353.8,32.05,40.3,66.4,40.5,0.32,99.13,4304
1,213,3.237,356.02,27.61,25.5,70.8,34.7,0.28,99.13,4304
1,214,3.256,358.18,24.71,40.9,76.3,31.1,0.25,99.13,4303
1,215,3.247,357.19,29.54,30.3,74.6,37.2,0.3,99.12,4303
1,216,3.144,345.79,88.51,39.2,54.4,75.4,0.89,99.11,3928
1,217,3.207,352.74,36.84,33.8,64.9,46.3,0.37,99.11,4072
1,218,3.241,356.46,27.82,41.4,72.1,35.2,0.28,99.1,4224
1,219,3.215,353.69,89.24,39.4,72.9,38.0,0.89,99.1,4019
1,220,3.26,358.55,24.92,34.2,77.5,31.2,0.25,99.09,4286
1,221,3.237,356.08,55.12,36.3,74.0,27.0,0.55,99.09,4296
1,222,3.246,357.07,49.5,43.1,76.8,34.8,0.49,99.09,4295
1,223,3.216,353.77,48.3,34.2,68.2,39.9,0.48,99.08,4294
1,224,3.227,355.01,92.59,36.9,76.8,34.7,0.93,99.08,4292
1,225,3.249,357.41,31.16,35.6,75.7,39.3,0.31,99.07,4292
1,226,3.255,358.06,20.76,44.8,75.0,26.3,0.21,99.07,4291
1,227,3.218,353.93,35.8,43.2,67.7,45.0,0.36,99.07,4290
1,228,3.22,354.25,30.97,44.6,67.2,39.0,0.31,99.06,4289
1,229,3.206,352.66,87.78,32.8,69.2,31.7,0.88,99.06,4288
1,230,3.232,355.51,47.26,43.4,72.9,42.4,0.47,99.05,4287
1,231,3.231,355.43,27.82,36.2,69.3,35.1,0.28,99.05,4287
1,232,3.233,355.64,43.61,46.2,71.7,33.2,0.44,99.05,4286
1,233,3.226,354.86,31.94,28.2,69.1,40.5,0.32,99.05,4285
1,234,3.204,352.46,88.78,27.8,70.7,48.4,0.89,99.04,4284
1,235,3.176,349.39,60.08,44.4,60.0,56.4,0.6,99.03,4066
1,236,3.211,353.22,50.34,41.3,66.8,37.9,0.5,99.02,4060
1,237,3.196,351.54,41.27,38.9,62.9,51.9,0.41,99.02,4010
1,238,3.203,352.37,127.05,31.8,74.0,36.8,1.27,99.01,3877
1,239,3.231,355.4,61.1,27.6,72.8,27.2,0.61,99.01,4137
1,240,3.247,357.14,30.37,29.5,74.7,38.5,0.3,99.01,4277
1,241,3.236,355.93,35.39,34.5,72.1,38.8,0.35,99.01,4276
1,242,3.23,355.33,53.36,34.1,71.8,30.4,0.53,99.0,4276
1,243,3.204,352.49,46.39,23.2,66.4,58.1,0.46,99.0,4275
1,244,3.2,351.97,49.39,40.5,64.5,45.9,0.49,99.0,4274
